+---------+-----------------+---------+---------+---------+
| Field 1 |     Field 2     | Field 3 | Field 4 | Field 5 |
|    52   |     Nyquist     |   144   |   2900  |    74   |
|   134   |       was       |    40   |  18130  |    75   |
|    50   |       than      |    39   |   2589  |    77   |
|    57   |       Also      |    69   |   3375  |    78   |
|   141   |      amount     |    78   |  20100  |    79   |
|    4    |      sample     |    60   |    80   |    80   |
|    98   |       DSP       |   114   |   9816  |    82   |
|   154   |     proceeds    |    77   |  23947  |    83   |
|    60   |       may       |    36   |   3696  |    85   |
|    14   |        to       |    33   |   243   |    86   |
|    10   |       SDRs      |   134   |   244   |    87   |
|    5    |      rates      |    58   |    88   |    88   |
|   152   |      before     |    45   |  23301  |    89   |
|   166   |     function    |    94   |  27816  |    90   |
|   137   |        we       |    26   |  18932  |    92   |
|   203   |        if       |    13   |  41425  |    93   |
|   184   |      fixed      |    43   |  34083  |    94   |
|    99   |      engine     |    48   |   9948  |    95   |
|    80   |     imaging     |    53   |   6533  |    96   |
|   210   |    behaviour    |    92   |  44402  |    97   |
|    94   |     possible    |    89   |   9019  |    98   |
|   103   |      which      |    46   |  10758  |    99   |
|    36   |        by       |    25   |   1357  |   101   |
|    21   |   frequencies   |   111   |   573   |   102   |
|    56   |      dongle     |    51   |   3243  |   103   |
|   194   |   crosstalking  |   136   |  37966  |   104   |
|    92   |        it       |    27   |   8583  |   105   |
|    19   |      range      |    40   |   420   |   106   |
|    64   |       find      |    29   |   4189  |   107   |
|    40   |      local      |    38   |   1678  |   108   |
|    9    |        of       |    19   |   109   |   109   |
|    41   |    oscillator   |   114   |   1836  |   110   |
|    17   |    relatively   |   119   |   425   |   111   |
|    83   |       well      |    48   |   7020  |   112   |
|   104   |        is       |    26   |  10946  |   113   |
|   135   |   investigated  |   123   |  18483  |   114   |
|    96   |      modify     |    66   |   9378  |   115   |
|   195   |     between     |    67   |  38287  |   116   |
|    88   |     relevant    |    89   |   7921  |   118   |
|    91   |     addition    |    68   |   8440  |   119   |
|   169   |   integration   |   121   |  28851  |   120   |
|   107   |      based      |    26   |  11582  |   121   |
|   136   |       Can       |    41   |  18673  |   122   |
|    76   |      types      |    80   |   5932  |   123   |
|   190   |     further     |    89   |  36379  |   124   |
|    44   |       get       |    29   |   2009  |   125   |
|    89   |   applications  |   123   |   8133  |   126   |
|   186   |       then      |    43   |  34825  |   128   |
|   138   |    compensate   |   101   |  19283  |   129   |
|   145   |      phase      |    44   |  21214  |   132   |
|   114   |     benefit     |    54   |  13164  |   133   |
|   148   |   determining   |   107   |  22159  |   134   |
|   171   |       With      |    82   |  29494  |   135   |
|    29   |      light      |    51   |   921   |   136   |
|   106   |     software    |    99   |  11441  |   137   |
|    86   |       any       |    37   |   7519  |   140   |
|   178   |       each      |    13   |  31875  |   141   |
|   150   |    correcting   |   102   |  22752  |   144   |
|    16   |       the       |    30   |   302   |   145   |
|    49   |       less      |    51   |   2501  |   146   |
|    11   |       can       |    15   |   147   |   147   |
|   218   |       for       |    36   |  47778  |   148   |
|    27   |        in       |    21   |   777   |   149   |
|   131   |        on       |    27   |  17319  |   150   |
|    26   |        RJ       |    78   |   780   |   152   |
|    59   |     concept     |    69   |   3609  |   155   |
|   182   |     constant    |    98   |  33404  |   156   |
+---------+-----------------+---------+---------+---------+
